mmsi,name,class,source
205277000,MFV O51 STORMVOGEL ,,db_ships
205278090,SAFFIER,,db_ships
205278390,TRIPOLI             ,,db_ships
205278890,CHOPIN,,db_ships
205279000,WINDROOS Z98,,db_ships
205280000,TUG 55              ,,db_ships
205281000,RUDY-N86 ,,db_ships
205285000,TUG 53              ,,db_ships
205288190,MARTCILINO,,db_ships
205288790,FRANTO,,db_ships
205290590,CAPIBARA,,db_ships
205291000,WARRIOR N-79,,db_ships
205293000,Z63 THALASSA        ,,db_ships
205294890,BIVIO               ,,db_ships
205296990,WIKI ,,db_ships
205297690,ALADIN,,db_ships
205299990,ALPHA,,db_ships
205300000,VB EAGLE            ,,db_ships
205300290,SPN 23              ,,db_ships
205303000,Z-296               ,,db_ships
205303090,GERMAINE            ,,db_ships
205303490,VITA DURA           ,,db_ships
205305890,FLANDRIA24          ,,db_ships
205307000,MFV N93 AALSCHOLVER,,db_ships
205309890,TAZ,,db_ships
205310590,IRIS,,db_ships
205313000,VOLTA 1             ,,db_ships
205314000,TUG 57              ,,db_ships
205314890,FREBEL,,db_ships
205316000,Z526 VAYA CON DIOS,,db_ships
205317690,DW2,,db_ships
205318000,TUG 56              ,,db_ships
205319790,ARION,,db_ships
205320190,LA MATTANZA         ,,db_ships
205320790,CORVUS,,db_ships
205321000,Z333 AVATAR,,db_ships
205325390,AVATAR,,db_ships
205327590,PAT-VERO            ,,db_ships
205329000,TUG 54              ,,db_ships
205331000,WINDCAT ROTTERDAM,,db_ships
205333890,ZINNIA,,db_ships
205334390,SHENANDOAH,,db_ships
205335000,MINERAL POLSKA      ,,db_ships
205335490,TANZANITE,,db_ships
205336000,Z56 PIETER ,,db_ships
205336190,COLIMETALS          ,,db_ships
205337190,LAGO,,db_ships
205337590,TUG 91              ,,db_ships
205345490,HEEN EN WEER 2,,db_ships
205346390,ROSARIUM            ,,db_ships
205347890,PAUL DELVAUX,,db_ships
205347990,ALLONSO,,db_ships
205348990,SOMTRANS IX,,db_ships
205351190,TUG 10              ,,db_ships
205351290,TUG 11              ,,db_ships
205352690,BRUTUS,,db_ships
205353590,VEREMANS,,db_ships
205353690,PAREL II            ,,db_ships
205354390,TIJL MBR 35,,db_ships
205354490,MRB36 NELE,,db_ships
205356690,MAC 11,,db_ships
205356870,,,db_ships
205360090,TUG 20,,db_ships
205360190,TUG 21,,db_ships
205360490,THEMISII,,db_ships
205363390,JERICHO             ,,db_ships
205363990,MARCARI             ,,db_ships
205364790,SARDAN,,db_ships
205365700,PRESTO              ,,db_ships
205366190,EVANTIA,,db_ships
205367890,DE NEUS,,db_ships
205367990,PAGADDER,,db_ships
205369090,SOMTRANS X,,db_ships
205369390,CANADA              ,,db_ships
205369890,NAVIRA,,db_ships
205370590,KAAPSTAD,,db_ships
205371190,JO,,db_ships
205371390,AMARIGE,,db_ships
205371690,HEEN EN WEER 3,,db_ships
205372590,LOVE STORY,,db_ships
205372690,ALMERIA,,db_ships
205373490,CERVUS,,db_ships
205374090,ISARNO              ,,db_ships
205375190,ZWINDAM             ,,db_ships
205375690,ACALI,,db_ships
205376090,STOLT DONAU,,db_ships
205377790,ASSI,,db_ships
205379790,VROUWE NELE,,db_ships
205381890,BLACK ROSE,,db_ships
205382490,IPANEMA,,db_ships
205383890,ACHELOOS,,db_ships
205384190,ALASKA,,db_ships
205384790,AQUAPOLIS,,db_ships
205384890,BEN-GUS,,db_ships
